municipio,bairro,categoria_macro,quantidade
VITORIA,CENTRO,patrimonial,683
VILA VELHA,PRAIA DA COSTA,patrimonial,616
LINHARES,OUTRO LOCAL,patrimonial,428
VITORIA,CENTRO,objetos,420
CARIACICA,CAMPO GRANDE,patrimonial,415
VITORIA,JARDIM DA PENHA,patrimonial,316
VITORIA,JARDIM CAMBURI,patrimonial,315
VILA VELHA,CENTRO VILA VELHA,patrimonial,301
VILA VELHA,ITAPOA,patrimonial,301
VITORIA,ENSEADA DO SUA,patrimonial,287
VITORIA,PRAIA DO CANTO,patrimonial,283
CACHOEIRO DE ITAPEMIRIM,OUTRO LOCAL,patrimonial,264
SERRA,PARQUE RESIDENCIAL LARANJEIRAS,patrimonial,261
VILA VELHA,PRAIA DE ITAPARICA,patrimonial,258
SAO MATEUS,OUTRO LOCAL,patrimonial,255
SERRA,JARDIM LIMOEIRO,patrimonial,206
ARACRUZ,OUTRO LOCAL,patrimonial,201
VILA VELHA,GLORIA,patrimonial,195
SERRA,PARQUE RESIDENCIAL LARANJEIRAS,objetos,184
CARIACICA,CAMPO GRANDE,objetos,174
GUARAPARI,PRAIA DO MORRO,patrimonial,173
VITORIA,SANTA LUCIA,patrimonial,173
VITORIA,JARDIM CAMBURI,objetos,166
VILA VELHA,COQUEIRAL DE ITAPARICA,patrimonial,164
VITORIA,BENTO FERREIRA,patrimonial,160
SERRA,COLINA DE LARANJEIRAS,patrimonial,159
VILA VELHA,PRAIA DA COSTA,objetos,157
LINHARES,CENTRO,patrimonial,148
VILA VELHA,ATAIDE,patrimonial,141
VITORIA,OUTRO LOCAL,patrimonial,138
GUARAPARI,CENTRO,patrimonial,135
SERRA,BAIRRO DAS LARANJEIRAS,patrimonial,129
CARIACICA,ITACIBA,patrimonial,126
COLATINA,CENTRO,patrimonial,120
VILA VELHA,ARIBIRI,patrimonial,119
SERRA,FEU ROSA,patrimonial,118
VITORIA,MATA DA PRAIA,patrimonial,111
VILA VELHA,COBILANDIA,patrimonial,105
GUARAPARI,MUQUICABA,patrimonial,104
CARIACICA,JARDIM AMERICA,patrimonial,102
MARATAIZES,BARRA DE ITAPEMIRIM,patrimonial,102
SERRA,VALPARAISO,patrimonial,101
VILA VELHA,PRAIA DE ITAPARICA,objetos,100
CACHOEIRO DE ITAPEMIRIM,CENTRO,patrimonial,98
LINHARES,INTERLAGOS,patrimonial,98
SERRA,CARAPINA,patrimonial,98
SERRA,MORADA DE LARANJEIRAS,patrimonial,98
VILA VELHA,CENTRO VILA VELHA,objetos,97
VITORIA,GOIABEIRAS,patrimonial,97
CARIACICA,NOVA ROSA DA PENHA,patrimonial,95
VITORIA,JARDIM DA PENHA,objetos,95
VILA VELHA,OUTRO LOCAL,patrimonial,93
SERRA,JARDIM LIMOEIRO,objetos,91
CARIACICA,OUTRO LOCAL,patrimonial,90
SERRA,NOVO HORIZONTE,patrimonial,89
VILA VELHA,JOCKEY DE ITAPARICA,patrimonial,89
VITORIA,JARDIM CAMBURI,digital,89
CARIACICA,SAO FRANCISCO,patrimonial,88
VILA VELHA,ITAPOA,objetos,88
VILA VELHA,SAO TORQUATO,patrimonial,85
SERRA,CARAPINA,objetos,84
VILA VELHA,DIVINO ESPIRITO SANTO,patrimonial,84
CARIACICA,ALTO LAGE,patrimonial,81
VILA VELHA,VALE ENCANTADO,patrimonial,78
SERRA,JARDIM TROPICAL,patrimonial,77
VIANA,MARCILIO DE NORONHA,patrimonial,75
LINHARES,INTERLAGOS,violencia_social,74
SERRA,PARQUE JACARAIPE,patrimonial,73
VILA VELHA,IBES,patrimonial,73
VITORIA,SANTO ANTONIO,patrimonial,73
CARIACICA,CRUZEIRO DO SUL,patrimonial,72
CARIACICA,VILA CAPIXABA,patrimonial,71
VILA VELHA,RIO MARINHO,patrimonial,70
VITORIA,BARRO VERMELHO,patrimonial,70
SERRA,VILA NOVA DE COLARES,patrimonial,69
VILA VELHA,GLORIA,objetos,69
VILA VELHA,SOTECO,patrimonial,69
VITORIA,MARUIPE,patrimonial,69
SERRA,CARAPINA GRANDE,patrimonial,68
VILA VELHA,ARACAS,patrimonial,68
VITORIA,BENTO FERREIRA,objetos,68
VILA VELHA,COQUEIRAL DE ITAPARICA,objetos,67
VITORIA,SANTA LUIZA,patrimonial,67
CARIACICA,JARDIM AMERICA,objetos,66
SERRA,BALNEARIO DE CARAPEBUS,patrimonial,66
VITORIA,ENSEADA DO SUA,objetos,66
SERRA,BARCELONA,patrimonial,65
SERRA,COLINA DE LARANJEIRAS,objetos,65
VILA VELHA,BARRAMARES,patrimonial,65
VITORIA,PRAIA DO CANTO,objetos,65
BARRA DE SAO FRANCISCO,CENTRO,patrimonial,64
VILA VELHA,DIVINO ESPIRITO SANTO,objetos,64
VITORIA,VILA RUBIM,patrimonial,64
ARACRUZ,CENTRO,patrimonial,63
GUARAPARI,ITAPEBUSSU,patrimonial,63
LINHARES,AVISO,patrimonial,63
SERRA,NOVA CARAPINA I,patrimonial,63
VILA VELHA,ATAIDE,objetos,63
COLATINA,SAO SILVANO,patrimonial,62
SERRA,BAIRRO DAS LARANJEIRAS,objetos,62
VILA VELHA,ALVORADA,patrimonial,62
CARIACICA,RIO BRANCO,objetos,61
GUARAPARI,SANTA MONICA,patrimonial,61
LINHARES,AVISO,violencia_social,61
SAO MATEUS,GURIRI,violencia_social,61
PIUMA,CENTRO,patrimonial,60
SAO GABRIEL DA PALHA,OUTRO LOCAL,patrimonial,60
SERRA,SERRA CENTRO,patrimonial,60
VILA VELHA,SANTA INES,patrimonial,60
GUACUI,OUTRO LOCAL,patrimonial,59
GUARAPARI,OUTRO LOCAL,patrimonial,59
LINHARES,CENTRO,objetos,59
SERRA,PLANALTO SERRANO,patrimonial,59
CARIACICA,CARIACICA SEDE,patrimonial,58
VITORIA,PRAIA DO SUA,patrimonial,58
CARIACICA,PORTO DE SANTANA,patrimonial,57
MARATAIZES,OUTRO LOCAL,patrimonial,57
SERRA,OUTRO LOCAL,patrimonial,56
VITORIA,JUCUTUQUARA,patrimonial,56
CARIACICA,SANTANA,patrimonial,55
SERRA,BAIRRO DE FATIMA,patrimonial,55
GUARAPARI,CENTRO,objetos,54
VILA VELHA,PRAIA DAS GAIVOTAS,patrimonial,53
VITORIA,MARIA ORTIZ,patrimonial,53
CARIACICA,SANTA BARBARA,patrimonial,52
ITAPEMIRIM,ITAIPAVA,patrimonial,52
VITORIA,ILHA DO PRINCIPE,patrimonial,52
SERRA,FEU ROSA,violencia_social,51
SERRA,PARQUE JACARAIPE,objetos,51
VILA VELHA,ARIBIRI,objetos,51
SERRA,VILA NOVA DE COLARES,violencia_social,50
VILA VELHA,NOSSA SENHORA DA PENHA,patrimonial,50
VILA VELHA,NOVO MEXICO,patrimonial,50
MARATAIZES,CIDADE NOVA,patrimonial,49
SERRA,ROSARIO DE FATIMA,patrimonial,49
VILA VELHA,JARDIM MARILANDIA,patrimonial,49
VITORIA,GRANDE VITORIA,patrimonial,49
CARIACICA,CAMPINA GRANDE,patrimonial,48
CARIACICA,ITACIBA,objetos,48
LINHARES,INTERLAGOS,objetos,48
SERRA,JARDIM CARAPINA,patrimonial,48
VILA VELHA,ALECRIM,patrimonial,48
GUARAPARI,PRAIA DO MORRO,objetos,47
ITAPEMIRIM,ITAOCA,patrimonial,47
SERRA,SAO DIOGO II,patrimonial,47
VITORIA,JARDIM CAMBURI,violencia_social,47
VILA VELHA,BARRA DO JUCU,patrimonial,46
VILA VELHA,SAO TORQUATO,objetos,46
VITORIA,SAO PEDRO,patrimonial,46
CARIACICA,CASTELO BRANCO,patrimonial,45
CARIACICA,SAO FRANCISCO,objetos,45
VITORIA,ITARARE,patrimonial,45
CARIACICA,MORADA DE SANTA FE,patrimonial,44
NOVA VENECIA,OUTRO LOCAL,patrimonial,44
SERRA,CASTELANDIA,patrimonial,44
SERRA,ELDORADO,patrimonial,44
SERRA,NOVA CARAPINA II,patrimonial,44
SERRA,PORTO CANOA,patrimonial,44
VILA VELHA,JOCKEY DE ITAPARICA,objetos,44
SERRA,CENTRAL CARAPINA,patrimonial,43
SERRA,CIDADE CONTINENTAL,patrimonial,43
SERRA,JOSE DE ANCHIETA,patrimonial,43
SERRA,NOVA ALMEIDA CENTRO,patrimonial,43
SOORETAMA,OUTRO LOCAL,patrimonial,43
VILA VELHA,SANTA RITA,patrimonial,43
SERRA,ROSARIO DE FATIMA,objetos,42
VILA VELHA,RIVIERA DA BARRA,patrimonial,42
VILA VELHA,VILA GARRIDO,patrimonial,42
VITORIA,ILHA DE SANTA MARIA,patrimonial,42
VITORIA,SANTA MARTHA,patrimonial,42
CARIACICA,PORTO DE CARIACICA,patrimonial,41
GUACUI,CENTRO,patrimonial,41
GUARAPARI,NOVA GUARAPARI,objetos,41
ITAPEMIRIM,CENTRO,patrimonial,41
SERRA,BAIRRO DAS LARANJEIRAS,violencia_social,41
SERRA,SAO DIOGO I,patrimonial,41
SERRA,SERRA DOURADA II,patrimonial,41
VITORIA,GOIABEIRAS,objetos,41
VITORIA,PARQUE MOSCOSO,patrimonial,41
CARIACICA,SAO GERALDO,patrimonial,40
GUARAPARI,IPIRANGA,patrimonial,40
LINHARES,PLANALTO,patrimonial,40
SERRA,MANGUINHOS,patrimonial,40
VILA VELHA,RIO MARINHO,objetos,40
CARIACICA,NOVA BRASILIA,patrimonial,39
CARIACICA,NOVA ROSA DA PENHA,objetos,39
CARIACICA,NOVA ROSA DA PENHA,violencia_social,39
CARIACICA,VILA PALESTINA,patrimonial,39
GUARAPARI,MUQUICABA,objetos,39
CASTELO,CENTRO,patrimonial,38
SAO MATEUS,CENTRO,patrimonial,38
SERRA,JARDIM ATLANTICO,patrimonial,38
VILA VELHA,ARACAS,objetos,38
VILA VELHA,BARRAMARES,violencia_social,38
VILA VELHA,COBILANDIA,objetos,38
VILA VELHA,ILHA DAS FLORES,patrimonial,38
VILA VELHA,PONTA DA FRUTA,patrimonial,38
VILA VELHA,TERRA VERMELHA,patrimonial,38
VITORIA,REPUBLICA,patrimonial,38
CARIACICA,RIO BRANCO,patrimonial,37
CARIACICA,SANTO ANDRE,patrimonial,37
FUNDAO,PRAIA GRANDE,patrimonial,37
LINHARES,ARACA,patrimonial,37
LINHARES,PLANALTO,violencia_social,37
MARECHAL FLORIANO,CENTRO,patrimonial,37
SANTA MARIA DE JETIBA,CENTRO,patrimonial,37
SANTA MARIA DE JETIBA,OUTRO LOCAL,patrimonial,37
SAO MATEUS,GURIRI,patrimonial,37
SAO MATEUS,OUTRO LOCAL,digital,37
SERRA,NOVO PORTO CANOA,patrimonial,37
VILA VELHA,GUARANHUNS,patrimonial,37
VILA VELHA,JABURUNA,patrimonial,37
VILA VELHA,NOSSA SENHORA DA PENHA,objetos,37
VILA VELHA,PRAIA DA COSTA,violencia_social,37
VILA VELHA,SANTA MONICA,patrimonial,37
CACHOEIRO DE ITAPEMIRIM,AQUIDABAN,patrimonial,36
CARIACICA,BELA AURORA,patrimonial,36
GUARAPARI,PORTO GRANDE,objetos,36
SAO JOSE DO CALCADO,CENTRO,patrimonial,36
SERRA,NOVO HORIZONTE,objetos,36
SERRA,NOVO HORIZONTE,violencia_social,36
VILA VELHA,CRISTOVAO COLOMBO,patrimonial,36
VITORIA,SANTA LUCIA,objetos,36
ALEGRE,CENTRO,patrimonial,35
CARIACICA,ALTO LAGE,objetos,35
CARIACICA,BANDEIRANTES,patrimonial,35
CARIACICA,CAMPO VERDE,patrimonial,35
MARATAIZES,BARRA DE ITAPEMIRIM,violencia_social,35
SERRA,HELIO FERRAZ,patrimonial,35
SERRA,RESIDENCIAL JACARAIPE,patrimonial,35
VILA VELHA,PAUL,patrimonial,35
VITORIA,BONFIM,patrimonial,35
VITORIA,GURIGICA,patrimonial,35
VITORIA,MARIO CYPRESTE,patrimonial,35
VITORIA,VILA RUBIM,objetos,35
ARACRUZ,OUTRO LOCAL,violencia_social,34
CACHOEIRO DE ITAPEMIRIM,DOUTOR GILSON CARONE,violencia_social,34
CACHOEIRO DE ITAPEMIRIM,GUANDU,patrimonial,34
CARIACICA,SANTA BARBARA,objetos,34
MONTANHA,CENTRO,patrimonial,34
VIANA,NOVA BETHANIA,patrimonial,34
VILA VELHA,ULISSES GUIMARAES,patrimonial,34
VITORIA,SAO CRISTOVAO,patrimonial,34
CACHOEIRO DE ITAPEMIRIM,GILBERTO MACHADO,patrimonial,33
CARIACICA,CAMPO GRANDE,violencia_social,33
CARIACICA,VILA CAPIXABA,objetos,33
GUARAPARI,OUTRO LOCAL,objetos,33
GUARAPARI,PRAIA DO MORRO,violencia_social,33
LINHARES,OUTRO LOCAL,violencia_social,33
SERRA,CIDADE POMAR,patrimonial,33
SERRA,JARDIM CARAPINA,violencia_social,33
SERRA,VALPARAISO,objetos,33
CARIACICA,NOVO BRASIL,patrimonial,32
ITAPEMIRIM,ITAOCA,violencia_social,32
LINHARES,SHELL,patrimonial,32
VILA VELHA,ILHA DOS BENTOS,patrimonial,32
VITORIA,ILHA DO PRINCIPE,objetos,32
VITORIA,MATA DA PRAIA,objetos,32
VITORIA,SANTA HELENA,patrimonial,32
ANCHIETA,OUTRO LOCAL,patrimonial,31
CARIACICA,CRUZEIRO DO SUL,objetos,31
MANTENOPOLIS,OUTRO LOCAL,patrimonial,31
NOVA VENECIA,RUBIA,patrimonial,31
SAO MATEUS,OUTRO LOCAL,violencia_social,31
SERRA,ANDRE CARLONI,patrimonial,31
SERRA,FEU ROSA,objetos,31
VILA VELHA,BARRA DO JUCU,objetos,31
VITORIA,CARATOIRA,patrimonial,31
CACHOEIRO DE ITAPEMIRIM,INDEPENDENCIA,patrimonial,30
CARIACICA,MORADA DE SANTA FE,objetos,30
COLATINA,CARLOS GERMANO NAUMANN,patrimonial,30
GUARAPARI,NOVA GUARAPARI,patrimonial,30
GUARAPARI,SANTA MONICA,violencia_social,30
LINHARES,CANIVETE,patrimonial,30
SANTA MARIA DE JETIBA,CENTRO,violencia_social,30
SAO GABRIEL DA PALHA,CENTRO,patrimonial,30
SERRA,MANGUINHOS,objetos,30
SERRA,PORTAL DE JACARAIPE,patrimonial,30
VILA VELHA,VILA NOVA,patrimonial,30
VITORIA,ITARARE,violencia_social,30
ARACRUZ,CENTRO,objetos,29
CACHOEIRO DE ITAPEMIRIM,VILA RICA,patrimonial,29
CARIACICA,ITANGUA,patrimonial,29
CARIACICA,TUCUM,patrimonial,29
LINHARES,AVISO,objetos,29
MARATAIZES,CENTRO,patrimonial,29
NOVA VENECIA,AEROPORTO,violencia_social,29
NOVA VENECIA,CENTRO,patrimonial,29
SERRA,CARAPINA GRANDE,objetos,29
SERRA,CHACARA PARREIRAL,patrimonial,29
SERRA,LARANJEIRAS VELHA,patrimonial,29
SERRA,SERRA DOURADA III,patrimonial,29
VIANA,NOVA BETHANIA,violencia_social,29
VIANA,UNIVERSAL,patrimonial,29
VILA VELHA,ILHA DOS AYRES,patrimonial,29
VILA VELHA,SANTOS DUMONT,patrimonial,29
VILA VELHA,SOTECO,violencia_social,29
VITORIA,MONTE BELO,patrimonial,29
CACHOEIRO DE ITAPEMIRIM,ZUMBI,patrimonial,28
CARIACICA,JARDIM BOTANICO,patrimonial,28
CARIACICA,MUCURI,patrimonial,28
CARIACICA,PORTO NOVO,patrimonial,28
CARIACICA,RIO MARINHO,patrimonial,28
COLATINA,COLATINA VELHA,violencia_social,28
ITAPEMIRIM,ITAIPAVA,violencia_social,28
PINHEIROS,CENTRO,patrimonial,28
PIUMA,JARDIM MAILY,patrimonial,28
SAO MATEUS,GURIRI,objetos,28
SERRA,CIVIT II,patrimonial,28
SERRA,PLANALTO SERRANO,violencia_social,28
VILA VELHA,ALVORADA,objetos,28
VILA VELHA,COCAL,patrimonial,28
VILA VELHA,RESIDENCIAL COQUEIRAL,patrimonial,28
VILA VELHA,VALE ENCANTADO,objetos,28
VITORIA,RESISTENCIA,patrimonial,28
CARIACICA,SANTA CECILIA,patrimonial,27
COLATINA,BELA VISTA,violencia_social,27
GUARAPARI,AEROPORTO,patrimonial,27
IUNA,QUILOMBO,patrimonial,27
PEDRO CANARIO,CENTRO,patrimonial,27
SERRA,BALNEARIO DE CARAPEBUS,violencia_social,27
SERRA,NOVA CARAPINA II,violencia_social,27
VITORIA,MARIO CYPRESTE,objetos,27
VITORIA,SANTO ANTONIO,objetos,27
VITORIA,TABUAZEIRO,patrimonial,27
AFONSO CLAUDIO,OUTRO LOCAL,patrimonial,26
BAIXO GUANDU,CENTRO,patrimonial,26
BARRA DE SAO FRANCISCO,BAIRRO IRMAOS FERNANDES,patrimonial,26
COLATINA,HONORIO FRAGA,patrimonial,26
MARATAIZES,BARRA DE ITAPEMIRIM,objetos,26
SERRA,ALTEROSAS,patrimonial,26
SERRA,SERRA CENTRO,objetos,26
VIANA,VILA BETHANIA,patrimonial,26
VILA VELHA,ARIBIRI,violencia_social,26
VILA VELHA,ITAPOA,violencia_social,26
VILA VELHA,JARDIM COLORADO,patrimonial,26
VILA VELHA,NOVO MEXICO,objetos,26
VILA VELHA,SOTECO,objetos,26
VILA VELHA,VILA BATISTA,patrimonial,26
VITORIA,JOANA DARC,patrimonial,26
ANCHIETA,CENTRO,patrimonial,25
BAIXO GUANDU,OUTRO LOCAL,patrimonial,25
CARIACICA,CASTELO BRANCO,violencia_social,25
CARIACICA,PORTO DE SANTANA,objetos,25
CARIACICA,VILA PRUDENCIO,patrimonial,25
COLATINA,AYRTON SENNA,violencia_social,25
MARATAIZES,ILMENITA,patrimonial,25
SERRA,EURICO SALLES,patrimonial,25
SERRA,NOVA CARAPINA I,objetos,25
SERRA,PLANALTO DE CARAPINA,patrimonial,25
SOORETAMA,CENTRO,objetos,25
SOORETAMA,CENTRO,patrimonial,25
VIANA,CANAA,patrimonial,25
VILA VELHA,IBES,objetos,25
VILA VELHA,PRAIA DAS GAIVOTAS,objetos,25
VITORIA,ILHA DE SANTA MARIA,objetos,25
VITORIA,JUCUTUQUARA,objetos,25
VITORIA,SAO JOSE,patrimonial,25
AFONSO CLAUDIO,CENTRO,patrimonial,24
CACHOEIRO DE ITAPEMIRIM,CORAMARA,violencia_social,24
CACHOEIRO DE ITAPEMIRIM,ZUMBI,violencia_social,24
CARIACICA,BOA SORTE,patrimonial,24
CARIACICA,NOVA BRASILIA,objetos,24
CARIACICA,VILA PALESTINA,objetos,24
GUARAPARI,BALNEARIO MEAIPE,objetos,24
NOVA VENECIA,RUBIA,violencia_social,24
PIUMA,OUTRO LOCAL,patrimonial,24
SERRA,ENSEADA DE JACARAIPE,patrimonial,24
SERRA,ESTANCIA MONAZITICA,patrimonial,24
SERRA,EURICO SALLES,objetos,24
SERRA,JARDIM TROPICAL,violencia_social,24
SERRA,MANOEL PLAZA,patrimonial,24
SERRA,VISTA DA SERRA I,patrimonial,24
VILA VELHA,MORADA DA BARRA,patrimonial,24
VITORIA,MARIA ORTIZ,violencia_social,24
ALEGRE,CENTRO,violencia_social,23
ARACRUZ,BARRA DO RIACHO,violencia_social,23
CARIACICA,GRAUNA,patrimonial,23
CARIACICA,SANTANA,objetos,23
CARIACICA,SANTO ANDRE,objetos,23
COLATINA,CENTRO,objetos,23
COLATINA,NOSSA SENHORA APARECIDA,patrimonial,23
GUARAPARI,KUBITSCHEK,patrimonial,23
JERONIMO MONTEIRO,CENTRO,patrimonial,23
LINHARES,MOVELAR,patrimonial,23
LINHARES,SAO JOSE,patrimonial,23
MIMOSO DO SUL,CENTRO,patrimonial,23
SERRA,JARDIM LIMOEIRO,violencia_social,23
SERRA,VILA NOVA DE COLARES,objetos,23
VENDA NOVA DO IMIGRANTE,VILA BETANEA,patrimonial,23
VIANA,MARCILIO DE NORONHA,violencia_social,23
VILA VELHA,COQUEIRAL DE ITAPARICA,violencia_social,23
VILA VELHA,JARDIM MARILANDIA,objetos,23
VILA VELHA,NOVA ITAPARICA,patrimonial,23
VILA VELHA,SANTA INES,objetos,23
VITORIA,INHANGUETA,patrimonial,23
VITORIA,JARDIM DA PENHA,violencia_social,23
AGUA DOCE DO NORTE,OUTRO LOCAL,patrimonial,22
ARACRUZ,VILA DO RIACHO,violencia_social,22
CACHOEIRO DE ITAPEMIRIM,AEROPORTO,patrimonial,22
CARIACICA,DOM BOSCO,patrimonial,22
CARIACICA,FLEXAL II,patrimonial,22
CARIACICA,JARDIM CAMPO GRANDE,patrimonial,22
CARIACICA,PORTO DE CARIACICA,objetos,22
CARIACICA,ROSA DA PENHA,patrimonial,22
CARIACICA,SANTO ANTONIO,patrimonial,22
COLATINA,CARLOS GERMANO NAUMANN,violencia_social,22
CONCEICAO DA BARRA,CENTRO,patrimonial,22
IUNA,QUILOMBO,violencia_social,22
LINHARES,ARACA,violencia_social,22
LINHARES,BEBEDOURO,patrimonial,22
LINHARES,MOVELAR,objetos,22
LINHARES,NOVO HORIZONTE,patrimonial,22
LINHARES,SHELL,objetos,22
SERRA,CARAPINA GRANDE,violencia_social,22
SERRA,JOSE DE ANCHIETA,objetos,22
SERRA,LARANJEIRAS VELHA,objetos,22
SERRA,MATA DA SERRA,patrimonial,22
SERRA,SAO FRANCISCO,patrimonial,22
VILA VELHA,BALNEARIO PONTA DA FRUTA,patrimonial,22
VITORIA,CENTRO,violencia_social,22
VITORIA,CONSOLACAO,patrimonial,22
VITORIA,DE LOURDES,patrimonial,22
VITORIA,FORTE SAO JOAO,patrimonial,22
ARACRUZ,JACUPEMBA,patrimonial,21
BOA ESPERANCA,OUTRO LOCAL,patrimonial,21
CACHOEIRO DE ITAPEMIRIM,MARBRASA,patrimonial,21
CARIACICA,APARECIDA,patrimonial,21
CARIACICA,FLEXAL I,patrimonial,21
CARIACICA,ITACIBA,violencia_social,21
CARIACICA,PROLAR,patrimonial,21
CARIACICA,TABAJARA,patrimonial,21
CARIACICA,VERA CRUZ,patrimonial,21
GUARAPARI,BALNEARIO MEAIPE,patrimonial,21
GUARAPARI,SAO GABRIEL,violencia_social,21
IBATIBA,CENTRO,patrimonial,21
LINHARES,BEBEDOURO,violencia_social,21
LINHARES,NOSSA SENHORA DA CONCEICAO,patrimonial,21
LINHARES,SANTA CRUZ,violencia_social,21
MARATAIZES,CIDADE NOVA,violencia_social,21
MARILANDIA,CENTRO,patrimonial,21
RIO BANANAL,SAO SEBASTIAO,violencia_social,21
SERRA,BICANGA,patrimonial,21
SERRA,CENTRAL CARAPINA,objetos,21
SERRA,CENTRO DA SERRA,patrimonial,21
SERRA,CIDADE CONTINENTAL,violencia_social,21
SERRA,SERRA DOURADA II,violencia_social,21
SERRA,TAQUARA I,patrimonial,21
VILA VELHA,ATAIDE,violencia_social,21
VILA VELHA,JOAO GOULART,patrimonial,21
VITORIA,FORTE SAO JOAO,objetos,21
VITORIA,HORTO,patrimonial,21
VITORIA,JABOUR,patrimonial,21
VITORIA,PRAIA DO SUA,objetos,21
ALEGRE,VILA DO SUL,violencia_social,20
ARACRUZ,SANTA CRUZ,violencia_social,20
ARACRUZ,VILA NOVA,patrimonial,20
CACHOEIRO DE ITAPEMIRIM,CORONEL BORGES,patrimonial,20
CACHOEIRO DE ITAPEMIRIM,JARDIM ITAPEMIRIM,patrimonial,20
CARIACICA,OUTRO LOCAL,objetos,20
CARIACICA,VALE DOS REIS,patrimonial,20
COLATINA,COLUMBIA,patrimonial,20
COLATINA,MARIA DAS GRACAS,patrimonial,20
COLATINA,MARIA DAS GRACAS,violencia_social,20
COLATINA,OUTRO LOCAL,patrimonial,20
CONCEICAO DA BARRA,BRACO DO RIO,patrimonial,20
IUNA,CENTRO,patrimonial,20
LINHARES,TRES BARRAS,patrimonial,20
MIMOSO DO SUL,OUTRO LOCAL,patrimonial,20
MONTANHA,OUTRO LOCAL,patrimonial,20
PANCAS,CENTRO,patrimonial,20
SERRA,BAIRRO DE FATIMA,objetos,20
SERRA,BARCELONA,violencia_social,20
SERRA,CARAPINA I,patrimonial,20
SERRA,JARDIM TROPICAL,objetos,20
SERRA,LAGOA DE JACARAIPE,patrimonial,20
VIANA,OUTRO LOCAL,patrimonial,20
VILA VELHA,JARDIM ASTECA,patrimonial,20
VILA VELHA,RESIDENCIAL JABAETE,patrimonial,20
VILA VELHA,SANTA MONICA POPULAR,patrimonial,20
VILA VELHA,ULISSES GUIMARAES,violencia_social,20
VITORIA,DA PENHA,patrimonial,20
ANCHIETA,OUTRO LOCAL,violencia_social,19
ARACRUZ,BELA VISTA,patrimonial,19
CACHOEIRO DE ITAPEMIRIM,PARAISO,patrimonial,19
CACHOEIRO DE ITAPEMIRIM,VILAGE DA LUZ,patrimonial,19
CARIACICA,ITAQUARI,patrimonial,19
CARIACICA,VILA MERLO,patrimonial,19
CARIACICA,VILA PRUDENCIO,objetos,19
ECOPORANGA,OUTRO LOCAL,patrimonial,19
GUARAPARI,PEROCAO,patrimonial,19
JAGUARE,CENTRO,patrimonial,19
LINHARES,PALMITAL,patrimonial,19
SAO MATEUS,BOA VISTA,patrimonial,19
SERRA,CASTELANDIA,objetos,19
SERRA,CIVIT II,objetos,19
SERRA,COLINA DE LARANJEIRAS,violencia_social,19
SERRA,PLANALTO SERRANO,objetos,19
SERRA,SAO GERALDO,patrimonial,19
SERRA,SERRA DOURADA I,patrimonial,19
SERRA,SERRA DOURADA I,violencia_social,19
VARGEM ALTA,CENTRO,patrimonial,19
VIANA,AREINHA,patrimonial,19
VILA VELHA,COBILANDIA,violencia_social,19
VILA VELHA,JABURUNA,objetos,19
VITORIA,AEROPORTO,patrimonial,19
VITORIA,NOVA PALESTINA,patrimonial,19
VITORIA,REDENCAO,patrimonial,19
CACHOEIRO DE ITAPEMIRIM,AMARELO,patrimonial,18
CACHOEIRO DE ITAPEMIRIM,VILAGE DA LUZ,violencia_social,18
CARIACICA,BELA AURORA,objetos,18
CARIACICA,MARACANA,patrimonial,18
CARIACICA,NOVA VALVERDE,patrimonial,18
CARIACICA,OPERARIO,patrimonial,18
CASTELO,INDEPENDENCIA,patrimonial,18
COLATINA,AYRTON SENNA,patrimonial,18
COLATINA,CENTRO,violencia_social,18
DOMINGOS MARTINS,CENTRO,patrimonial,18
FUNDAO,CENTRO,patrimonial,18
GUARAPARI,OLARIA,patrimonial,18
GUARAPARI,RECANTO DA SEREIA,patrimonial,18
GUARAPARI,SAO GABRIEL,patrimonial,18
ITAPEMIRIM,OUTRO LOCAL,patrimonial,18
JERONIMO MONTEIRO,CENTRO,violencia_social,18
LINHARES,NOVA ESPERANCA,violencia_social,18
NOVA VENECIA,MARGARETH,patrimonial,18
NOVA VENECIA,OUTRO LOCAL,violencia_social,18
PINHEIROS,OUTRO LOCAL,patrimonial,18
PRESIDENTE KENNEDY,JAQUEIRA,violencia_social,18
SERRA,JOSE DE ANCHIETA II,patrimonial,18
SERRA,PLANALTO DE CARAPINA,objetos,18
SERRA,RESIDENCIAL CENTRO DA SERRA,patrimonial,18
VIANA,MARCILIO DE NORONHA,objetos,18
VILA VELHA,CENTRO VILA VELHA,violencia_social,18
VILA VELHA,GLORIA,violencia_social,18
VILA VELHA,SANTA MONICA,objetos,18
VILA VELHA,SAO CONRADO,patrimonial,18
VILA VELHA,VALE ENCANTADO,violencia_social,18
ALTO RIO NOVO,ALTO RIO NOVO,patrimonial,17
ANCHIETA,IRIRI,patrimonial,17
BARRA DE SAO FRANCISCO,BAIRRO IRMAOS FERNANDES,violencia_social,17
CACHOEIRO DE ITAPEMIRIM,AGOSTINHO SIMONATO,patrimonial,17
CACHOEIRO DE ITAPEMIRIM,BNH,patrimonial,17
CACHOEIRO DE ITAPEMIRIM,CENTRO,objetos,17
CACHOEIRO DE ITAPEMIRIM,NOVO PARQUE,patrimonial,17
CARIACICA,CAMPO VERDE,violencia_social,17
CARIACICA,EXPEDITO,patrimonial,17
CARIACICA,PORTO DE SANTANA,violencia_social,17
