data_fato,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,periodo_dia,fim_de_semana
2025-02-09,2025.0,2.0,FEV,2025-02-01,6.0,DOM,MANHA,True
2025-02-10,2025.0,2.0,FEV,2025-02-01,0.0,SEG,MANHA,False
2025-02-10,2025.0,2.0,FEV,2025-02-01,0.0,SEG,NOITE,False
2025-02-10,2025.0,2.0,FEV,2025-02-01,0.0,SEG,TARDE,False
2025-02-10,2025.0,2.0,FEV,2025-02-01,0.0,SEG,,False
2025-02-11,2025.0,2.0,FEV,2025-02-01,1.0,TER,MANHA,False
2025-02-11,2025.0,2.0,FEV,2025-02-01,1.0,TER,TARDE,False
2025-02-11,2025.0,2.0,FEV,2025-02-01,1.0,TER,,False
2025-02-11,2025.0,2.0,FEV,2025-02-01,1.0,TER,NOITE,False
2025-02-12,2025.0,2.0,FEV,2025-02-01,2.0,QUA,,False
2025-02-12,2025.0,2.0,FEV,2025-02-01,2.0,QUA,TARDE,False
2025-02-12,2025.0,2.0,FEV,2025-02-01,2.0,QUA,NOITE,False
2025-02-12,2025.0,2.0,FEV,2025-02-01,2.0,QUA,MANHA,False
2025-03-01,2025.0,3.0,MAR,2025-03-01,5.0,SAB,MANHA,True
2025-03-01,2025.0,3.0,MAR,2025-03-01,5.0,SAB,NOITE,True
2025-03-01,2025.0,3.0,MAR,2025-03-01,5.0,SAB,TARDE,True
2025-03-01,2025.0,3.0,MAR,2025-03-01,5.0,SAB,,True
2025-03-02,2025.0,3.0,MAR,2025-03-01,6.0,DOM,MANHA,True
2025-03-02,2025.0,3.0,MAR,2025-03-01,6.0,DOM,TARDE,True
2025-03-03,2025.0,3.0,MAR,2025-03-01,0.0,SEG,TARDE,False
2025-03-03,2025.0,3.0,MAR,2025-03-01,0.0,SEG,NOITE,False
2025-03-03,2025.0,3.0,MAR,2025-03-01,0.0,SEG,,False
2025-03-04,2025.0,3.0,MAR,2025-03-01,1.0,TER,MANHA,False
2025-03-04,2025.0,3.0,MAR,2025-03-01,1.0,TER,NOITE,False
2025-03-04,2025.0,3.0,MAR,2025-03-01,1.0,TER,TARDE,False
2025-03-04,2025.0,3.0,MAR,2025-03-01,1.0,TER,,False
2025-03-05,2025.0,3.0,MAR,2025-03-01,2.0,QUA,TARDE,False
2025-03-05,2025.0,3.0,MAR,2025-03-01,2.0,QUA,MANHA,False
2025-03-05,2025.0,3.0,MAR,2025-03-01,2.0,QUA,NOITE,False
