uf,municipio,bairro,categoria_macro
ES,COLATINA,SANTA TEREZINHA,digital
ES,CARIACICA,SANTA LUZIA,digital
ES,VILA VELHA,NORMILIA DA CUNHA,digital
ES,VARGEM ALTA,BOA ESPERANCA,digital
ES,VILA VELHA,ILHA DA CONCEICAO,digital
ES,COLATINA,AEROPORTO,digital
ES,VITORIA,SANTA CLARA,digital
ES,IBIRACU,COHAB,digital
ES,SERRA,BAIRRO NOVO,digital
ES,VILA VELHA,NOVO MEXICO,digital
ES,SERRA,PALMEIRAS,digital
ES,PIUMA,PRAIA DE ACAIACA,digital
ES,GUARAPARI,OLARIA,digital
ES,CACHOEIRO DE ITAPEMIRIM,VARGEM GRANDE DO SOTURNO,digital
ES,CACHOEIRO DE ITAPEMIRIM,NOVO PARQUE,digital
ES,CACHOEIRO DE ITAPEMIRIM,JARDIM AMERICA,digital
ES,VENDA NOVA DO IMIGRANTE,TAPERA,digital
ES,ARACRUZ,VILA RICA,digital
ES,CONCEICAO DA BARRA,QUILOMBO NOVO,digital
ES,CARIACICA,SAO BENEDITO,digital
ES,VILA VELHA,ARACAS,digital
ES,ARACRUZ,PRAIA SAUE,digital
ES,VILA VELHA,JARDIM DO VALE,digital
ES,SERRA,ANDRE CARLONI,digital
ES,SERRA,CACAROCA,digital
