fonte_dados,categoria_macro,genero,cor,idade,faixa_etaria,municipio,bairro,sexo,cutis
homicidios,violencia_social,1 - MASCULINO,PARDA,40.0,35_44,ITAPEMIRIM,CAMPO ACIMA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,48.0,45_54,VITORIA,,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,SANTA MARIA DE JETIBA,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,19.0,18_24,FUNDAO,CAMPESTRE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,14.0,0_14,VITORIA,GRANDE VITORIA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,23.0,18_24,ITAGUACU,SANTA FE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,49.0,45_54,ITAPEMIRIM,GOMES,,
homicidios,violencia_social,1 - MASCULINO,PARDA,20.0,18_24,LINHARES,INTERLAGOS,,
homicidios,violencia_social,2 - FEMININO,PARDA,25.0,25_34,VILA VELHA,GLORIA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,47.0,45_54,COLATINA,BELA VISTA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,SERRA,VISTA DA SERRA I,,
homicidios,violencia_social,1 - MASCULINO,PARDA,37.0,35_44,ITAPEMIRIM,GARRAFAO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,AGUA DOCE DO NORTE,CORREGO DO CEDRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,19.0,18_24,VILA VELHA,COBI DE CIMA,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,46.0,45_54,AFONSO CLAUDIO,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PREJUDICADO,,,VILA VELHA,XURY,,
homicidios,violencia_social,1 - MASCULINO,PARDA,33.0,25_34,SERRA,BAIRRO DAS LARANJEIRAS,,
homicidios,violencia_social,2 - FEMININO,BRANCA,38.0,35_44,CARIACICA,BOA SORTE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,ECOPORANGA,VILA NOVA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,50.0,45_54,LINHARES,NOVA ESPERANÇA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,VILA VELHA,JABURUNA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,65.0,65_PLUS,LINHARES,AVISO,,
homicidios,violencia_social,1 - MASCULINO,PREJUDICADO,,,VILA VELHA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,24.0,18_24,VIANA,BOM PASTOR,,
homicidios,violencia_social,1 - MASCULINO,PARDA,33.0,25_34,VIANA,BOM PASTOR,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,ECOPORANGA,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,36.0,35_44,LINHARES,SAO RAFAEL,,
homicidios,violencia_social,2 - FEMININO,PARDA,8.0,0_14,CARIACICA,ITAQUARI,,
homicidios,violencia_social,1 - MASCULINO,PARDA,54.0,45_54,JAGUARE,NOSSA SENHORA DE FATIMA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,36.0,35_44,MARATAIZES,BARRA DE ITAPEMIRIM,,
homicidios,violencia_social,1 - MASCULINO,PARDA,40.0,35_44,SAO MATEUS,VITORIA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,62.0,55_64,PINHEIROS,PINHEIRINHO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,ITAPEMIRIM,ITAOCA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,CONCEICAO DA BARRA,BRAÇO DO RIO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,25.0,25_34,SERRA,SERRA CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,21.0,18_24,VILA VELHA,VILA GARRIDO,,
homicidios,violencia_social,2 - FEMININO,PARDA,66.0,65_PLUS,VILA VELHA,VALE ENCANTADO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,45.0,45_54,CARIACICA,CASTELO BRANCO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,53.0,45_54,CARIACICA,JARDIM AMERICA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,40.0,35_44,PANCAS,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,20.0,18_24,SERRA,JARDIM DA SERRA,,
homicidios,violencia_social,2 - FEMININO,PARDA,21.0,18_24,SOORETAMA,SAYONARA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,30.0,25_34,BOA ESPERANÇA,VILA TAVARES,,
homicidios,violencia_social,1 - MASCULINO,PARDA,27.0,25_34,LINHARES,BREJO GRANDE,,
homicidios,violencia_social,1 - MASCULINO,PARDA,30.0,25_34,CONCEICAO DA BARRA,BRAÇO DO RIO,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,49.0,45_54,IUNA,QUILOMBO,,
homicidios,violencia_social,1 - MASCULINO,NEGRA,36.0,35_44,SERRA,FEU ROSA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,35.0,35_44,GUARAPARI,SAO GABRIEL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,39.0,35_44,PINHEIROS,SAO JOAO DO SOBRADO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,23.0,18_24,SERRA,JARDIM BELA VISTA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,37.0,35_44,CACHOEIRO DE ITAPEMIRIM,NOSSA SENHORA APARECIDA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,26.0,25_34,BAIXO GUANDU,ZONA RURAL,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,57.0,55_64,CARIACICA,VILA CAPIXABA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,40.0,35_44,CARIACICA,VILA CAPIXABA,,
homicidios,violencia_social,1 - MASCULINO,BRANCA,39.0,35_44,ITAGUACU,CENTRO,,
homicidios,violencia_social,1 - MASCULINO,PARDA,58.0,55_64,CARIACICA,VILA CAPIXABA,,
homicidios,violencia_social,1 - MASCULINO,PARDA,45.0,45_54,VILA VELHA,ALECRIM,,
homicidios,violencia_social,1 - MASCULINO,PARDA,29.0,25_34,RIO BANANAL,CORREGO LACRIMAL,,
homicidios,violencia_social,1 - MASCULINO,PARDA,26.0,25_34,CARIACICA,FLEXAL II,,
homicidios,violencia_social,1 - MASCULINO,PARDA,21.0,18_24,VILA VELHA,PEDRA DOS BUZIOS,,
