data_fato,hora_fato,tipo_boletim,tipo_envolvimento,idade,sexo,cutis,cod_incidente,grupo_incidente,tipo_incidente,uf,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia,faixa_etaria
2025-01-01,05:30:00,BU,VITIMA,,S/I,BRANCA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,5.0,MADRUGADA,
2025-01-01,05:30:00,BU,VITIMA,,S/I,BRANCA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,5.0,MADRUGADA,
2025-01-01,05:30:00,BU,VITIMA,,S/I,PARDA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,COQUEIRAL DE ITAPARICA,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,5.0,MADRUGADA,
2025-01-01,19:20:00,BABU,VITIMA,,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO ROQUE DO CANAA,FRANCISCO TOREZANI,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,19.0,NOITE,
2025-01-01,00:49:00,BABU,VITIMA,12.0,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CENTRO,VIA PÚBLICA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,0.0,MADRUGADA,0_14
2025-01-01,18:12:00,BABU,VITIMA,14.0,MASCULINO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,BAIXO GUANDU,ROSARIO II,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,18.0,NOITE,0_14
2025-01-01,19:16:00,BABU,VITIMA,14.0,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO MATEUS,LITORANEO,VIA PÚBLICA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,19.0,NOITE,0_14
2025-01-01,22:19:00,BABU,VITIMA,15.0,FEMININO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CIDADE NOVA,REPARTICAO PUBLICA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,22.0,NOITE,15_17
2025-01-01,12:07:00,BABU,VITIMA,16.0,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO ROQUE DO CANAA,OUTRO LOCAL,VIA PÚBLICA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,12.0,TARDE,15_17
2025-01-01,13:45:00,BABU,VITIMA,17.0,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SERRA,FEU ROSA,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,13.0,TARDE,15_17
2025-01-01,15:39:00,BABU,VITIMA,18.0,FEMININO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CIDADE NOVA,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,15.0,TARDE,18_24
2025-01-01,21:04:00,BABU,VITIMA,18.0,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SANTA LEOPOLDINA,CENTRO,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,21.0,NOITE,18_24
2025-01-01,02:00:00,BU,VITIMA,18.0,FEMININO,BRANCA,A07F,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VALERIO,ZONA RURAL,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,2.0,MADRUGADA,18_24
2025-01-01,15:39:00,BABU,VITIMA,19.0,MASCULINO,BRANCA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,MARATAIZES,CIDADE NOVA,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,15.0,TARDE,18_24
2025-01-01,03:20:00,BU,VITIMA,19.0,FEMININO,NEGRA,A07A1,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,VILA VELHA,ATAIDE,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,3.0,MADRUGADA,18_24
2025-01-01,05:38:00,BABU,VITIMA,20.0,FEMININO,PARDA,G14,CRIMES DIVERSOS,CRIMES DIVERSOS: LEI MARIA DA PENHA - 11.340/2006,ES,SAO JOSE DO CALCADO,CENTRO,RESIDÊNCIA,violencia_domestica,violencia_social,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,5.0,MADRUGADA,18_24
