municipio,categoria_macro,quantidade
MANTENOPOLIS,violencia_social,23
CASTELO,objetos,22
FUNDAO,objetos,22
ITARANA,patrimonial,22
JAGUARE,objetos,22
MONTANHA,objetos,22
SAO ROQUE DO CANAA,patrimonial,22
VILA PAVAO,patrimonial,22
GOVERNADOR LINDENBERG,patrimonial,21
ALEGRE,objetos,20
ITARANA,violencia_social,20
LARANJA DA TERRA,patrimonial,20
SAO ROQUE DO CANAA,violencia_social,20
BOM JESUS DO NORTE,patrimonial,19
DORES DO RIO PRETO,patrimonial,19
AGUIA BRANCA,violencia_social,18
DORES DO RIO PRETO,violencia_social,18
ICONHA,violencia_social,18
JOAO NEIVA,objetos,18
VENDA NOVA DO IMIGRANTE,objetos,18
MIMOSO DO SUL,objetos,17
CONCEICAO DA BARRA,digital,16
GOVERNADOR LINDENBERG,violencia_social,16
LARANJA DA TERRA,violencia_social,16
MARILANDIA,objetos,16
MUCURICI,patrimonial,16
RIO NOVO DO SUL,violencia_social,16
APIACA,patrimonial,15
MARECHAL FLORIANO,objetos,15
PINHEIROS,objetos,15
ALTO RIO NOVO,violencia_social,14
DOMINGOS MARTINS,objetos,14
IUNA,objetos,14
PEDRO CANARIO,objetos,14
MANTENOPOLIS,digital,13
SAO DOMINGOS DO NORTE,violencia_social,13
VILA PAVAO,violencia_social,13
ALFREDO CHAVES,digital,12
ATILIO VIVACQUA,violencia_social,12
GUARAPARI,digital,12
PONTO BELO,patrimonial,12
AFONSO CLAUDIO,objetos,11
SANTA TERESA,digital,11
BOA ESPERANCA,objetos,10
CACHOEIRO DE ITAPEMIRIM,digital,10
IBATIBA,objetos,10
PANCAS,objetos,10
VIANA,digital,10
APIACA,violencia_social,9
DIVINO DE SAO LOURENCO,violencia_social,9
IRUPI,objetos,9
MUCURICI,violencia_social,9
PONTO BELO,violencia_social,9
VARGEM ALTA,digital,9
BARRA DE SAO FRANCISCO,digital,8
BOM JESUS DO NORTE,objetos,8
IBITIRAMA,violencia_social,8
RIO BANANAL,objetos,8
SANTA LEOPOLDINA,objetos,8
SAO DOMINGOS DO NORTE,objetos,8
VARGEM ALTA,objetos,8
VILA VALERIO,objetos,8
AGUIA BRANCA,objetos,7
ALFREDO CHAVES,objetos,7
IBIRACU,objetos,7
JERONIMO MONTEIRO,objetos,7
RIO NOVO DO SUL,objetos,7
ATILIO VIVACQUA,objetos,6
ICONHA,digital,6
MUQUI,objetos,6
SANTA TERESA,objetos,6
CONCEICAO DO CASTELO,objetos,5
DIVINO DE SAO LOURENCO,patrimonial,5
MANTENOPOLIS,objetos,5
PRESIDENTE KENNEDY,objetos,5
SANTA MARIA DE JETIBA,digital,5
SAO JOSE DO CALCADO,objetos,5
DORES DO RIO PRETO,objetos,4
ICONHA,objetos,4
ITAGUACU,objetos,4
ITARANA,objetos,4
PIUMA,digital,4
SAO ROQUE DO CANAA,digital,4
SAO ROQUE DO CANAA,objetos,4
VENDA NOVA DO IMIGRANTE,digital,4
VILA PAVAO,objetos,4
AGUA DOCE DO NORTE,objetos,3
APIACA,objetos,3
CONCEICAO DO CASTELO,digital,3
GOVERNADOR LINDENBERG,digital,3
AGUIA BRANCA,digital,2
ALTO RIO NOVO,objetos,2
BOA ESPERANÇA,violencia_social,2
ECOPORANGA,digital,2
GOVERNADOR LINDENBERG,objetos,2
LARANJA DA TERRA,objetos,2
LINHARES,digital,2
MONTANHA,digital,2
MUCURICI,objetos,2
MUNIZ FREIRE,objetos,2
NOVA VENECIA,digital,2
PANCAS,digital,2
PEDRO CANARIO,digital,2
AFONSO CLAUDIO,digital,1
BAIXO GUANDU,digital,1
BREJETUBA,objetos,1
ECOPORANGA,objetos,1
FUNDAO,digital,1
GUACUI,digital,1
IBIRACU,digital,1
IBITIRAMA,objetos,1
IRUPI,digital,1
MUCURICI,digital,1
PONTO BELO,objetos,1
PRESIDENTE KENNEDY,digital,1
SAO GABRIEL DA PALHA,digital,1
