_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,TIPO OBJETO,AÇÃO OBJETO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL,TIPO,MARCA,MODELO,COR VEÍCULO
17121,59081213,2025-07-09T00:00:00,00:00:00,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: DE VEÍCULO: AUTOMOTOR,ES,SAO MATEUS,CARAPINA,ROD OTHOVARINO DUARTE SANTOS,VIA PÚBLICA,AUTOMÓVEL,CHEVROLET,PRISMA 1.4L LT,BRANCO
17122,59081549,2025-07-09T00:00:00,05:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,SERRA,SAO GERALDO,S/I,VIA PÚBLICA,S/I,SAMSUNG,A04E,S/I
17123,59082214,2025-07-09T00:00:00,11:40:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM OUTRAS INSTITUIÇÕES,ES,VILA VELHA,XURY,S/I,VIA PÚBLICA,S/I,APPLE,IPHONE 14,S/I
17124,59083090,2025-07-09T00:00:00,01:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR: PARTICULAR,ES,VITORIA,MATA DA PRAIA,RUA JOAO JOSE CABAS,VIA PÚBLICA,AUTOMÓVEL,CHEVROLET,CORSA WIND,BRANCO
17125,59083824,2025-07-09T00:00:00,04:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VITORIA,JARDIM CAMBURI,S/I,VIA PÚBLICA,AUTOMÓVEL,FORD,KA,VERMELHO
17126,59084801,2025-07-09T00:00:00,22:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,CENTRO,S/I,COMÉRCIO,S/I,SAMSUNG,M53,S/I
17127,59087192,2025-07-09T00:00:00,07:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,VISTA DA SERRA II,RUA PRINCIPAL,VIA PÚBLICA,S/I,MOTOROLA,MOTO G05,S/I
17128,59089591,2025-07-09T00:00:00,20:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,SANTO ANTONIO,RUA LUDOVICO PAVONI,VIA PÚBLICA,S/I,SAMSUNG,S/I,S/I
17129,59090925,2025-07-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,OCORRÊNCIAS DIVERSAS/ASSISTÊNCIAIS,OCORRÊNCIAS DIVERSAS/ASSISTÊNCIAIS: ESTATUTO: IDOSO ACIMA DE 60 ANOS,ES,CARIACICA,NOVA ROSA DA PENHA,RUA CENTO E VINTE E SEIS,RESIDÊNCIA,S/I,SAMSUNG,GALAXY A06,S/I
17130,59091678,2025-07-09T00:00:00,02:39:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,TAQUARA I,29167-825,VIA PÚBLICA,S/I,MOTOROLA,MOTO G54 5G,S/I
17131,59092023,2025-07-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,CARIACICA,SAO FRANCISCO,RUA BECO UM,RESIDÊNCIA,S/I,SAMSUNG,A05 SANSUNG,S/I
17132,59092565,2025-07-09T00:00:00,09:29:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,AV ESTUDANTE JOSE JULIO DE SOUZA,VIA PÚBLICA,S/I,OGGI,float sport,S/I
17133,59092567,2025-07-09T00:00:00,22:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VITORIA,MARIO CYPRESTE,AV. DÁRIO LOURENÇO DE SOUZA,VIA PÚBLICA,S/I,XIAOMI,S/I,S/I
17134,59096498,2025-07-09T00:00:00,02:21:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,MARILANDIA,CENTRO,AV DOM BOSCO,VIA PÚBLICA,S/I,giant,MONAK,S/I
17135,59099394,2025-07-09T00:00:00,18:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VILA VELHA,PRAIA DA COSTA,RUA SÃO PAULO,VIA PÚBLICA,S/I,SERTTEL,serttel,S/I
17136,59099993,2025-07-09T00:00:00,19:33:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,DANTE MICHELINI,VIA PÚBLICA,S/I,XIAOMI,REDMI NOTE 14,S/I
17137,59100040,2025-07-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO: TRANSPORTE POR APP,ES,VITORIA,ITARARE,DESEMBARGADOR GILSON MENDONÇA,TRANSP POR APP,S/I,MOTOROLA,MOTO G35 5G,S/I
17138,59101424,2025-07-09T00:00:00,17:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VIANA,MARCILIO DE NORONHA,RUA NITEROI,VIA PÚBLICA,MOTOCICLETA,HONDA,CB 300R,PRETO
17139,59101660,2025-07-09T00:00:00,17:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR: PARTICULAR,ES,SERRA,BAIRRO DAS LARANJEIRAS,RUA GOYTACAZES,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEM,GOL I,PRATA
17140,59101844,2025-07-09T00:00:00,00:27:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,S/I,COMÉRCIO,S/I,APPLE,14 PRO MAX,S/I
17141,59106122,2025-07-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VITORIA,ILHA DE SANTA MARIA,RUA MARIA DE LOURDES GARCIA,RESIDÊNCIA,S/I,MOTOROLA,A15,S/I
17142,59106920,2025-07-09T00:00:00,23:00:00,BICICLETA,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VILA VELHA,PRAIA DA COSTA,AV HUGO MUSSO,VIA PÚBLICA,S/I,OGGI,STREETGO S 12,S/I
17143,59108414,2025-07-09T00:00:00,01:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,R. ALDA MARIA LYRA VICENTINI,VIA PÚBLICA,S/I,MOTOROLA,MOTO G60,S/I
17144,59109631,2025-07-09T00:00:00,19:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,PRESIDENTE MEDICE,RUA NOVA AMERICA,RESIDÊNCIA,MOTOCICLETA,HONDA,CBX 250 TWISTER,AMARELO
17145,59116293,2025-07-09T00:00:00,16:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,ARACRUZ,BARRA DO RIACHO,RUA FLORIANO SANTANA,VIA PÚBLICA,S/I,ELLEVEN,ROCKER,S/I
17146,59152147,2025-07-09T00:00:00,14:31:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,LINHARES,CENTRO,S/I,VIA PÚBLICA,S/I,OUTROS,TCL 60SE  T517H 512GB 18RAM,S/I
17147,59152147,2025-07-09T00:00:00,14:31:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,LINHARES,CENTRO,S/I,VIA PÚBLICA,S/I,OUTROS,INFINIX NOTE 30 5G,S/I
17148,59153116,2025-07-09T00:00:00,15:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,REPUBLICA,AVENIDA ROSENDO SERAPIAO,VIA PÚBLICA,S/I,APPLE,IPHONE 15 PRO MAX,S/I
17149,59156656,2025-07-09T00:00:00,01:35:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VITORIA,JARDIM DA PENHA,RUA TUPINAMBAS,RESIDÊNCIA,S/I,LEV,S PLUS,S/I
17150,59163863,2025-07-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,GUARAPARI,OUTRO LOCAL,RUA PEDRO VIEIRA DA COSTA,OUTRO LOCAL,S/I,APPLE,IPHONE 14,S/I
17151,59163863,2025-07-09T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,GUARAPARI,OUTRO LOCAL,RUA PEDRO VIEIRA DA COSTA,OUTRO LOCAL,S/I,SAMSUNG,A73,S/I
17152,59165284,2025-07-09T00:00:00,01:40:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,VITORIA,JARDIM DA PENHA,RUA TUPINAMBÁS,RESIDÊNCIA,S/I,cruiser s plus,cruiser s plus,S/I
17153,59221848,2025-07-09T00:00:00,03:40:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,MARECHAL FLORIANO,CENTRO,AV ARTHUR HAESE,VEÍCULO,S/I,SAMSUNG,GALAXY A06,S/I
17154,59337550,2025-07-09T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,BARRA DE SAO FRANCISCO,BAIRRO IRMAOS FERNANDES,RUA MIGUEL KEMPIM,OUTRO LOCAL,CAMINHÃO,VOLKSWAGEN,31.260 E,BRANCO
17155,59080024,2025-08-09T00:00:00,05:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CRUZEIRO DO SUL,RUA DOM PEDRO II,VIA PÚBLICA,S/I,XIAOMI,NOTE 12,S/I
17156,59080073,2025-08-09T00:00:00,05:05:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,VILA VELHA,JARDIM GUARANHUNS,S/I,VIA PÚBLICA,S/I,SAMSUNG,GALAX A13,S/I
