_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,TIPO OBJETO,AÇÃO OBJETO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL,TIPO,MARCA,MODELO,COR VEÍCULO
1,56766451,2025-01-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,ITAPEMIRIM,ITAIPAVA,PRAIA DA PEDRA,VIA PÚBLICA,S/I,APPLE,IPHONE 15,S/I
2,56767157,2025-01-01T00:00:00,07:30:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,CARIACICA,NOVO BRASIL,RUA FLOR DE LIZ,RESIDÊNCIA,MOTOCICLETA,HONDA,CG 150 TITAN,PRETO
3,56767186,2025-01-01T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,ITAPEMIRIM,CENTRO,RUA PEDRADAS,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEM,GOL II,BRANCO
4,56767465,2025-01-01T00:00:00,05:40:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM VEÍCULO,ES,VITORIA,SANTA LUCIA,AV:RIO BRANCO,VIA PÚBLICA,AUTOMÓVEL,TOYOTA,ETIOS SD X,CINZA
5,56767925,2025-01-01T00:00:00,03:20:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,GUARAPARI,NOVA GUARAPARI,R.A,CASA DE SHOW/EVENTOS,S/I,XIAOMI,REDMI NOTE 11 PRETO,S/I
6,56768236,2025-01-01T00:00:00,07:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,PARQUE JACARAIPE,"AV, ABIDO SAAD",COMÉRCIO,S/I,MOTOROLA,MOTO G,S/I
7,56768543,2025-01-01T00:00:00,10:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,ROD BR 101 KM 264,COMÉRCIO,MOTOCICLETA,YAMAHA,YBR125I FACTOR ED,VERMELHO
8,56769558,2025-01-01T00:00:00,12:20:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,TERMINAL DE CARAPINA,TRANSP COLETIVO,S/I,MOTOROLA,MOTO G 54,S/I
9,56769807,2025-01-01T00:00:00,00:40:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,PIUMA,CENTRO,RUA PRINCIPAL,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEM,GOL G5,PRATA
10,56770259,2025-01-01T00:00:00,02:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: AUTOMOTOR,ES,SERRA,PARQUE JACARAIPE,RUA ARACAJU,VIA PÚBLICA,AUTOMÓVEL,VOLKSWAGEN,GOL,CINZA
11,56770509,2025-01-01T00:00:00,09:20:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,ALECRIM,RUA DA AMIZADE,OUTRO LOCAL,S/I,XIAOMI,REDIMI 12,S/I
12,56770626,2025-01-01T00:00:00,Indeterminada,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,SERRA,PRAIA DA BALEIA,S/I,VIA PÚBLICA,S/I,G7 NEW,MARCHA 19,S/I
13,56771053,2025-01-01T00:00:00,17:02:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,SAO GABRIEL DA PALHA,ZONA RURAL,CORREGO DA PRATA,VIA PÚBLICA,MOTOCICLETA,HONDA,CG150 START,PRETO
14,56771802,2025-01-01T00:00:00,00:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTOS DUMONT,R KLEBER JOSE DE ANDRADE,VIA PÚBLICA,S/I,APPLE,IPHONE 13,S/I
15,56771893,2025-01-01T00:00:00,00:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ITAPOA,"NA PRAIA , NA AREIA",OUTRO LOCAL,S/I,SAMSUNG,SM A5564,S/I
16,56773069,2025-01-01T00:00:00,Indeterminada,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,PARQUE JACARAIPE,RUA FLORIANOPOLIS,RESIDÊNCIA,S/I,ECOS,ARO 29,S/I
17,56773494,2025-01-01T00:00:00,21:38:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,GOVERNADOR LINDENBERG,MORADA DO SOL,RUA NAO CADASTRADA,RESIDÊNCIA,S/I,SAMSUNG,A10,S/I
18,56773546,2025-01-01T00:00:00,19:30:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,SERRA,PARQUE RESIDENCIAL LARANJEIRAS,RUA DONA TEREZA CRISTINA,VIA PÚBLICA,S/I,dropp,MONTAIN BIKE ARO  29,S/I
19,56775840,2025-01-01T00:00:00,01:18:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SAO DOMINGOS DO NORTE,ZONA RURAL,CORREGO DA DIVISA,OUTRO LOCAL,MOTOCICLETA,HONDA,CRF 230F,VERMELHO
20,56775873,2025-01-01T00:00:00,22:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,RIO MARINHO,RUA VINTE E UM,VIA PÚBLICA,MOTOCICLETA,YAMAHA,YS150 FAZER SED,PRETO
21,56776037,2025-01-01T00:00:00,23:50:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,DOMINGOS MARTINS,USINA,RUA PROJETADA,VIA PÚBLICA,S/I,XIAOMI,S/I,S/I
22,56776169,2025-01-01T00:00:00,04:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,MANGUINHOS,RUA LARIPE,VIA PÚBLICA,S/I,XIAOMI,REDMI 13C,S/I
23,56776180,2025-01-01T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,CONCEICAO DA BARRA,CENTRO,AV. GOV. JONES DOS SANTOS NEVES,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 START,BRANCO
24,56776337,2025-01-01T00:00:00,00:01:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SAO ROQUE DO CANAA,CENTRO,PARQUE DE EXPOSIÇÕES,VIA PÚBLICA,S/I,APPLE,IPHONE 13,S/I
25,56776678,2025-01-01T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,ALFREDO CHAVES,IMIGRANTE,RUA ARLINDO COSTA,VIA PÚBLICA,MOTOCICLETA,HONDA,BIZ 125 KS,PRETO
26,56776730,2025-01-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIA ORTIZ,RUA PROFESSOR CARLOS LEONARDO KULNIG,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A06,S/I
27,56776809,2025-01-01T00:00:00,00:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: LESÃO CORPORAL: LEVE: CONTRA MULHER - LEI MARIA PENHA,ES,BARRA DE SAO FRANCISCO,JABUTICABA,CÓRREGO DO ITÁ,RESIDÊNCIA,S/I,SAMSUNG,GALAXY A05,S/I
28,56776946,2025-01-01T00:00:00,03:00:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,VILA VELHA,ARACAS,RUA BUENOS AIRES,RESIDÊNCIA,S/I,cannodale,Trail 5 10V aro 29,S/I
29,56777017,2025-01-01T00:00:00,04:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CASTELO,GARAGE,FAZENDA FIM DO MUNDO,RESIDÊNCIA,MOTOCICLETA,HONDA,NXR150 BROS ES,PRETO
30,56777591,2025-01-01T00:00:00,05:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,S/I,VIA PÚBLICA,S/I,APPLE,IPHONE SE SEGUNDA GERAÇÃO,S/I
31,56777929,2025-01-01T00:00:00,15:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,ANCHIETA,OUTRO LOCAL,RUA DAS GABIROBAS,RESIDÊNCIA,S/I,SAMSUNG,S/I,S/I
32,56778092,2025-01-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,GUACUI,CENTRO,PCA JOAO ACACINHO,VIA PÚBLICA,S/I,XIAOMI,REDMI 14C,S/I
33,56778293,2025-01-01T00:00:00,03:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,ARACRUZ,BARRA DO SAHY,S/I,OUTRO LOCAL,S/I,XIAOMI,REDMI NOTE 13 PRO,S/I
34,56778397,2025-01-01T00:00:00,00:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,PIUMA,JARDIM MAILY,AV BEIRA MAR,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A13,S/I
35,56778840,2025-01-01T00:00:00,01:30:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DA COSTA,AVENIDA ANTONIO GIL VELLOZO,VIA PÚBLICA,S/I,MOTOROLA,MOTO G 35 CINZA,S/I
36,56778889,2025-01-01T00:00:00,00:10:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DE ITAPARICA,S/I,VIA PÚBLICA,S/I,MOTOROLA,MOTO G 54,S/I
37,56779031,2025-01-01T00:00:00,00:25:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,CENTRO,S/I,VIA PÚBLICA,S/I,APPLE,IPHONE XR,S/I
38,56779694,2025-01-01T00:00:00,18:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,NOVA VENECIA,CEDROLANDIA,S/I,VIA PÚBLICA,MOTOCICLETA,HONDA,BIZ 125 KS,PRETO
39,56779759,2025-01-01T00:00:00,21:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,SANTA MONICA,RUA ESPIRITO SANTO,VIA PÚBLICA,S/I,XIAOMI,REDIMI 13,S/I
40,56781077,2025-01-01T00:00:00,16:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO,ES,SERRA,TAQUARA II,RUA TREZE MAIO,RESIDÊNCIA,S/I,XIAOMI,POCO X5,S/I
41,56781081,2025-01-01T00:00:00,23:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,PIUMA,PRAIA DE ACAIACA,ORLA DE PIÚMA,VIA PÚBLICA,S/I,XIAOMI,POCO M6 PRO BLACK,S/I
42,56786653,2025-01-01T00:00:00,03:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,CAMPINHO DA SERRA I,RUA VITORIA REGIA,TEMPLO RELIGIOSO,S/I,XIAOMI,REDMI NOTE 12,S/I
43,56787353,2025-01-01T00:00:00,12:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VITORIA,SAO PEDRO,S/I,COMÉRCIO,S/I,MOTOROLA,MTO G 24,S/I
44,56787921,2025-01-01T00:00:00,15:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,ATAIDE,RUA ARI BARROSO,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 160 TITAN,DOURADO
45,56789106,2025-01-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SERRA,FEU ROSA,CHACARA MAR AZUL - RUA IREMA,RESIDÊNCIA,S/I,XIAOMI,S/I,S/I
46,56789556,2025-01-01T00:00:00,00:30:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,CONCEICAO DA BARRA,CENTRO,AV. BEIRA MAR,OUTRO LOCAL,S/I,SAMSUNG,A12 PRETO,S/I
47,56796930,2025-01-01T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CASCATA,S/I,VIA PÚBLICA,S/I,XIAOMI,REDIMI 10 PRO,S/I
48,56798150,2025-01-01T00:00:00,10:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,DIVINO ESPIRITO SANTO,S/I,VIA PÚBLICA,S/I,SAMSUNG,A53,S/I
49,56815388,2025-01-01T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,IRUPI,BURRO FROUXO,BURRO FROUXO,RESIDÊNCIA,S/I,XIAOMI,REALME NOTE 50,S/I
50,56818530,2025-01-01T00:00:00,00:10:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,ITAPEMIRIM,ITAIPAVA,PIER DOS PESCADORES,OUTRO LOCAL,S/I,APPLE,IPHONE 12 MINI,S/I
51,56820657,2025-01-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,NOVA PONTA DA FRUTA,AVENIDA TATUÍ,RESIDÊNCIA,S/I,SAMSUNG, S20 FE,S/I
52,56821596,2025-01-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV DANTE MICHELINE,VIA PÚBLICA,S/I,MOTOROLA,MOTO G3,S/I
53,56827907,2025-01-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,SAO MATEUS,GURIRI,POSTO 1- PRAIA,VIA PÚBLICA,S/I,APPLE,S/I,S/I
54,56829562,2025-01-01T00:00:00,20:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CASTELANDIA,S/I,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A15,S/I
55,56830552,2025-01-01T00:00:00,22:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CARAPINA,S/I,VIA PÚBLICA,S/I,OUTROS,INFINIX,S/I
56,56840427,2025-01-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,ALVORADA,S/I,OUTRO LOCAL,S/I,MOTOROLA,MOTO G24,S/I
57,56858405,2025-01-01T00:00:00,00:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AV DANTE MICHELINE,VIA PÚBLICA,S/I,MOTOROLA,S/I,S/I
58,56879627,2025-01-01T00:00:00,19:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA A PESSOA,CRIMES CONTRA A PESSOA: AMEAÇA: CONTRA MULHER - LEI MARIA PENHA,ES,ALEGRE,MORRO DO QUEROSENE,RUA LEANDRO MACHADO,RESIDÊNCIA,S/I,OUTROS,S/I,S/I
59,56889915,2025-01-01T00:00:00,15:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,VILA RUBIM,S/I,VIA PÚBLICA,S/I,XIAOMI,REDMI 13 C,S/I
60,56914059,2025-01-01T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,VILA VELHA,SANTA RITA,RUA MOACIR MOTTA,VIA PÚBLICA,S/I,SAMSUNG,A05 VERDE 128GB,S/I
61,56967940,2025-01-01T00:00:00,12:40:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM CAMBURI,AV DANTE MICHELINE,VIA PÚBLICA,S/I,SAMSUNG,A14 5G.,S/I
62,57059563,2025-01-01T00:00:00,02:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM VEÍCULO,ES,CONCEICAO DA BARRA,CENTRO,S/I,VIA PÚBLICA,AUTOMÓVEL,FIAT,UNO 1.0,BRANCO
63,57069316,2025-01-01T00:00:00,17:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,CENTRO DA SERRA,RUA CASSIANO CASTELO,VIA PÚBLICA,S/I,SAMSUNG,M23,S/I
64,57109072,2025-01-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,PRAIA DO MORRO,PRAIA,VIA PÚBLICA,S/I,APPLE,S/I,S/I
65,57650710,2025-01-01T00:00:00,Indeterminada,VEICULO,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SAO MATEUS,OUTRO LOCAL,S/I,OUTRO LOCAL,MOTOCICLETA,HONDA,CB 300R,AMARELO
66,56776882,2025-02-01T00:00:00,02:00:00,APARELHOS TELEFONICOS,ROUBADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CACHOEIRO DE ITAPEMIRIM,PARAISO,AV. FRANCISCO LACERDA DE AGUIAR,COMÉRCIO,S/I,SAMSUNG,S/I,S/I
67,56776888,2025-02-01T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,VILA VELHA,ILHA DAS FLORES,RUA FLORIANO PEREIRA PASSOS,VIA PÚBLICA,AUTOMÓVEL,CHEVROLET,CORSA SUPER,PRATA
68,56777219,2025-02-01T00:00:00,Indeterminada,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,LINHARES,RIO QUARTEL,SITIO BELA VISTA RIO QUARTEL DE CIMA,RESIDÊNCIA,MOTOCICLETA,HONDA,POP 110I,VERMELHO
69,56777622,2025-02-01T00:00:00,23:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,GLORIA,S/I,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A32,S/I
70,56778041,2025-02-01T00:00:00,11:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO,ES,CARIACICA,VILA INDEPENDENCIA,RUA GALDINO FERRAZ,RESIDÊNCIA,MOTOCICLETA,HONDA,CG 125 TITAN,VERDE
71,56778203,2025-02-01T00:00:00,Indeterminada,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BALNEARIO DE CARAPEBUS,AV BEIRA MAR,VIA PÚBLICA,S/I,SAMSUNG,GALAXY A25 5G,S/I
72,56779011,2025-02-01T00:00:00,03:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,ATAIDE,RUA SALGUEIRO,VIA PÚBLICA,MOTOCICLETA,HONDA,CG 125 FAN KS,PRETO
73,56779188,2025-02-01T00:00:00,03:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,COLATINA,SANTA MONICA,RUA MARIA CAROLINA MARTINS,VIA PÚBLICA,CICLOMOTOR,HONDA,CG 150 TITAN,PRETO
74,56779453,2025-02-01T00:00:00,07:20:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO,ES,GUARAPARI,CENTRO,RUA DESEMBARGADOR LOURIVAL DE ALMEIDA,VIA PÚBLICA,S/I,ksvj,ARO 29,S/I
75,56779689,2025-02-01T00:00:00,11:00:00,VEICULO,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: CICLOMOTOR,ES,VILA VELHA,ATAIDE,RUA PRESIDENTE GETULIO VARGAS,VIA PÚBLICA,MOTOCICLETA,HONDA,CG150 FAN ESDI,CINZA
76,56779764,2025-02-01T00:00:00,13:30:00,BICICLETA,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: DE VEÍCULO: BICICLETA,ES,SERRA,PORTO CANOA,AV. PORTO CANOA,CONSULTORIO,S/I,KSW,ARO 29,S/I
77,56779795,2025-02-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,CACHOEIRO DE ITAPEMIRIM,VILA RICA,RUA VANDERLEY M OLIVEIRA,RESIDÊNCIA,S/I,APPLE,IPHONE 8 64GB PRETO,S/I
78,56779795,2025-02-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,CACHOEIRO DE ITAPEMIRIM,VILA RICA,RUA VANDERLEY M OLIVEIRA,RESIDÊNCIA,S/I,SAMSUNG,SAMSUNG BRANCO,S/I
79,56779795,2025-02-01T00:00:00,01:00:00,APARELHOS TELEFONICOS,FURTADO,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: FURTO: EM RESIDÊNCIA/CONDOMÍNIO,ES,CACHOEIRO DE ITAPEMIRIM,VILA RICA,RUA VANDERLEY M OLIVEIRA,RESIDÊNCIA,S/I,SAMSUNG,SAMSUNG S10 E COR CARAMELO,S/I
