_id,Nº OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,IDADE,GENERO,COR,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO LOCAL
223,57730890,2025-10-04T00:00:00,00:36,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,ECOPORANGA,CENTRO,RUA SANTA RITA,Estabelecimento Comercial
224,57749428,2025-11-04T00:00:00,23:08,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Negra,LINHARES,SAO RAFAEL,RUA NÃO CADASTRADA,Domicílio
225,57749214,2025-11-04T00:00:00,22:35,CRIMES CONTRA A PESSOA,Feminicídio,ES,8,2 - Feminino,Parda,CARIACICA,ITAQUARI,RUA FERNANDO DE SÁ,Domicílio
226,57747213,2025-11-04T00:00:00,18:40,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,54,1 - Masculino,Parda,JAGUARE,NOSSA SENHORA DE FATIMA,RUA NÃO CADASTRADA,Via Pública
227,57743709,2025-11-04T00:00:00,14:00,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Parda,MARATAIZES,BARRA DE ITAPEMIRIM,RUA NAO CADASTRADA,Via Pública
228,57756704,2025-12-04T00:00:00,22:49,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,40,1 - Masculino,Parda,SAO MATEUS,VITORIA,RUA PLUTAO,Via Pública
229,57758403,2025-12-04T00:00:00,21:58,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,62,1 - Masculino,Branca,PINHEIROS,PINHEIRINHO,RUA NÃO CADASTRADA,Via Pública
230,57760744,2025-04-13T00:00:00,06:38,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,SERRA,RESIDENCIAL VISTA DO MESTRE,AV SALVADOR,Domicílio
231,57760492,2025-04-13T00:00:00,05:01,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,45,1 - Masculino,Parda,SERRA,RESIDENCIAL JACARAIPE,RUA PRESIDENTE COSTA E SILVA,Via Pública
232,57782734,2025-04-15T00:00:00,15:34,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,55,1 - Masculino,Não Informado,SERRA,CHACARA PARREIRAL,RUA LEONCIO MONJARDIM,Via Pública
233,57781239,2025-04-15T00:00:00,13:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,40,1 - Masculino,Parda,VILA VELHA,GLORIA,RUA DOMINGOS MARTINS,Domicílio
234,57779162,2025-04-15T00:00:00,09:37,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,46,1 - Masculino,Parda,SAO MATEUS,GURIRI,RUA 08,Domicílio
235,57804985,2025-04-17T00:00:00,21:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Branca,BARRA DE SAO FRANCISCO,VILA LANDINHA,RUA GOIANIA,Via Pública
236,57814524,2025-04-18T00:00:00,21:47,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,MUCURICI,AGUA BOA,RUA MARTA BARBOSA,Domicílio
237,57814217,2025-04-18T00:00:00,21:07,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,CARIACICA,PADRE GABRIEL,RUA JOSE CARLOS LOPES DE OLIVEIRA,Via Pública
238,57731297,2025-04-18T00:00:00,10:43,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,51,1 - Masculino,Branca,BARRA DE SAO FRANCISCO,VILA VICENTE,RUA AGNALDO MARTINS,Domicílio
239,57808108,2025-04-18T00:00:00,08:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino,Parda,VILA VELHA,COBI DE BAIXO,RUA ANA MERETO STEFANON,Via Pública
240,57807137,2025-04-18T00:00:00,03:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Branca,VILA VELHA,JARDIM MARILANDIA,RUA ALVIM PEREIRA RAMIS,Via Pública
241,57822962,2025-04-19T00:00:00,19:43,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,32,2 - Feminino,Parda,BARRA DE SAO FRANCISCO,ZONA RURAL,X,Via Pública
242,57822962,2025-04-19T00:00:00,19:37,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Branca,BARRA DE SAO FRANCISCO,ZONA RURAL,RUA NÃO CADASTRADA,Via Pública
243,57816055,2025-04-19T00:00:00,11:07,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,33,1 - Masculino,Parda,VILA VELHA,GLORIA,RUA DOM PEDRO II,Via Pública
244,57817699,2025-04-19T00:00:00,09:12,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Parda,SERRA,SAO DOMINGOS,RUA NÃO CADASTRADA,Via Pública
245,57834606,2025-04-21T00:00:00,07:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Parda,VIANA,CANTO GRANDE,RUA NÃO CADASTRADA,Domicílio
246,57850721,2025-04-22T00:00:00,22:39,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,38,1 - Masculino,Parda,ARACRUZ,NOVA ESPERANÇA,RUA PROJETADA,Domicílio
247,57848467,2025-04-22T00:00:00,17:35,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,14,1 - Masculino,Parda,SOORETAMA,SAYONARA,RUA JUERANA,Via Pública
248,57847833,2025-04-22T00:00:00,16:41,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Branca,CARIACICA,JARDIM BOTANICO,RUA TANQUE,Terreno Baldio / Construção / Mata
249,57843727,2025-04-22T00:00:00,10:21,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Parda,SAO MATEUS,CORREGO DA AREIA,RUA NÃO CADASTRADA,Lago / Lagoa / Represa
250,57842289,2025-04-22T00:00:00,07:12,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,43,1 - Masculino,Parda,NOVA VENECIA,PERDIDO,RUA NÃO CADASTRADA,Domicílio
251,57855603,2025-04-23T00:00:00,14:33,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,38,1 - Masculino,Negra,VIANA,CABRAL,RUA NÃO CADASTRADA,Unidade Prisional
252,57860757,2025-04-24T00:00:00,07:02,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES, ,1 - Masculino, ,CACHOEIRO DE ITAPEMIRIM,CORONEL BORGES,RUA FERNANDO MELO PORTINHO,Via Pública
253,57872376,2025-04-25T00:00:00,12:06,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,52,1 - Masculino,Parda,BREJETUBA,ZONA RURAL,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
254,57835183,2025-04-25T00:00:00,05:15,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,46,1 - Masculino,Parda,IRUPI,SANTA CRUZ,ROD ES 379,Via Pública
255,57884284,2025-04-26T00:00:00,16:21,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Branca,CARIACICA,FLEXAL II,RUA DA LIBERDADE,Via Pública
256,57893579,2025-04-27T00:00:00,17:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Parda,MONTANHA,SAO SEBASTIAO DO NORTE,RUA NÃO CADASTRADA,Lago / Lagoa / Represa
257,57893365,2025-04-27T00:00:00,17:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,CARIACICA,CASTELO BRANCO,RUA FRANCISCO JOSE LOMBA,Via Pública
258,57893365,2025-04-27T00:00:00,17:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,CARIACICA,CASTELO BRANCO,RUA FRANCISCO JOSE LOMBA,Via Pública
259,57889528,2025-04-27T00:00:00,05:06,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Branca,CARIACICA,CAMPO GRANDE,RUA CORONEL OLIMPIO CUNHA,Domicílio
260,57895551,2025-04-28T00:00:00,14:27,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,46,1 - Masculino,Parda,CACHOEIRO DE ITAPEMIRIM,VILAGE DA LUZ,ROD JOAO DE DEUS MADUREIRA,Via Pública
261,57897958,2025-04-29T00:00:00,07:38,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Parda,VILA VELHA,COBI DE CIMA,RUA NÃO CADASTRADA,Via Pública
262,57921018,2025-04-30T00:00:00,15:49,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,65,1 - Masculino,Branca,CARIACICA,VILA CAPIXABA,RUA NÃO INFORMADA,Terreno Baldio / Construção / Mata
263,57916353,2025-04-30T00:00:00,07:40,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,28,2 - Feminino,Parda,MIMOSO DO SUL,PONTE DE ITABAPOANA,X,Via Pública
264,57931509,2025-01-05T00:00:00,21:23,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Parda,ITAPEMIRIM,ITAOCA,RUA NÃO CADASTRADA,Outros Locais
265,57929275,2025-01-05T00:00:00,16:14,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,CONCEICAO DA BARRA,BRAÇO DO RIO,RUA NÃO CADASTRADA,Praça / Parques / Área Pública
266,57928677,2025-01-05T00:00:00,15:16,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Negra,SERRA,SERRA CENTRO,AV JONES SANTOS NEVES,Via Pública
267,57927344,2025-01-05T00:00:00,12:16,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,VILA VELHA,VILA GARRIDO,RUA JOSE DE SOUZA,Via Pública
268,57926276,2025-01-05T00:00:00,09:18,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,66,2 - Feminino,Parda,VILA VELHA,VALE ENCANTADO,RUA MONTE SINAI,Terreno Baldio / Construção / Mata
269,57941359,2025-02-05T00:00:00,21:56,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,45,1 - Masculino,Negra,CARIACICA,CASTELO BRANCO,RUA NÃO CADASTRADA,Via Pública
270,57941173,2025-02-05T00:00:00,21:50,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,53,1 - Masculino,Negra,CARIACICA,JARDIM AMERICA,RUA JOSE SERTA,Via Pública
271,57940902,2025-02-05T00:00:00,21:01,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,40,1 - Masculino,Parda,PANCAS,ZONA RURAL,RUA NÃO CADASTRADA,Via Pública
272,57932816,2025-02-05T00:00:00,01:00,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Parda,SERRA,JARDIM DA SERRA,RUA DOUTOR ALMYR NEVES,Via Pública
273,57945795,2025-03-05T00:00:00,20:15,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,2 - Feminino,Parda,SOORETAMA,SAYONARA,RUA JUERANA,Via Pública
274,57953112,2025-04-05T00:00:00,11:11,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Parda,BOA ESPERANÇA,VILA TAVARES,RUA RIO DE JANEIRO,Via Pública
275,57951570,2025-04-05T00:00:00,03:24,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,27,1 - Masculino,Parda,LINHARES,BREJO GRANDE,RUA NÃO CADASTRADA,Outros Locais
276,57951361,2025-04-05T00:00:00,02:27,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Parda,CONCEICAO DA BARRA,BRAÇO DO RIO,RUA ALAILDES ALVES RAINHA,Via Pública
277,57951144,2025-04-05T00:00:00,01:35,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,49,1 - Masculino,Branca,IUNA,QUILOMBO,RUA ARMINDO APOLINARIO LEMOS,Domicílio
278,57960085,2025-05-05T00:00:00,09:21,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Negra,SERRA,FEU ROSA,RUA EUCALIPTOS,Terreno Baldio / Construção / Mata
279,57958367,2025-05-05T00:00:00,00:24,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,35,1 - Masculino,Parda,GUARAPARI,SAO GABRIEL,RUA MINAS GERAIS,Via Pública
280,57974969,2025-06-05T00:00:00,20:45,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Parda,PINHEIROS,SAO JOAO DO SOBRADO,ROD ES 313,Domicílio
281,57949176,2025-06-05T00:00:00,09:56,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Parda,SERRA,JARDIM BELA VISTA,RUA QUATRO,Via Pública
282,57968426,2025-06-05T00:00:00,07:57,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,1 - Masculino,Parda,CACHOEIRO DE ITAPEMIRIM,NOSSA SENHORA APARECIDA,RUA JOSE PAULINO CIRPIANO,Via Pública
283,57968267,2025-06-05T00:00:00,07:21,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Branca,BAIXO GUANDU,ZONA RURAL,ROD ES 446,Via Pública
284,57978674,2025-07-05T00:00:00,17:03,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,57,1 - Masculino,Branca,CARIACICA,VILA CAPIXABA,ROD BR 101,Ponte / Viaduto
285,57978674,2025-07-05T00:00:00,11:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,40,1 - Masculino,Branca,CARIACICA,VILA CAPIXABA,ROD BR 101,Ponte / Viaduto
286,58001388,2025-09-05T00:00:00,21:05,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Branca,ITAGUACU,CENTRO,RUA HENRIQUE NOVAIS,Estabelecimento Comercial
287,57978674,2025-10-05T00:00:00,23:29,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,58,1 - Masculino,Parda,CARIACICA,VILA CAPIXABA,ROD BR 101,Ponte / Viaduto
288,58006995,2025-10-05T00:00:00,14:17,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,45,1 - Masculino,Parda,VILA VELHA,ALECRIM,RUA GUARAPARI,Estabelecimento Comercial
289,58002902,2025-10-05T00:00:00,00:47,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,RIO BANANAL,CORREGO LACRIMAL,RUA NÃO CADASTRADA,Domicílio
290,58013134,2025-11-05T00:00:00,04:36,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,CARIACICA,FLEXAL II,RUA NÃO CADASTRADA,Praça / Parques / Área Pública
291,58012270,2025-11-05T00:00:00,00:44,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,VILA VELHA,PEDRA DOS BUZIOS,RUA LEPOLDO FONSECA,Domicílio
292,58025002,2025-12-05T00:00:00,05:55,CRIMES CONTRA A PESSOA,Feminicídio,ES,46,2 - Feminino,Parda,DOMINGOS MARTINS,SOIDO,X,Domicílio
293,58029443,2025-12-05T00:00:00,22:46,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,CARIACICA,SOTELANDIA,RUA FERNANDO ANTONIO,Via Pública
294,58020863,2025-12-05T00:00:00,02:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,33,1 - Masculino,Parda,GUARAPARI,SAO GABRIEL,RUA ECOPORANGA,Domicílio
295,58037614,2025-05-13T00:00:00,23:05,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Parda,COLATINA,QUINZE DE OUTUBRO,ROD GETHER LOPES DE FARIAS,Estabelecimento Comercial
296,58063553,2025-05-16T00:00:00,23:47,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,BAIXO GUANDU,VILA KENNEDY,RUA DONA AMALIA,Via Pública
297,58061273,2025-05-16T00:00:00,18:47,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,CARIACICA,CASTELO BRANCO,RUA JOAQUIM DE SOUZA,Via Pública
298,58056506,2025-05-16T00:00:00,09:46,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,VILA VELHA,SAO TORQUATO,RUA BOM JESUS,Terreno Baldio / Construção / Mata
299,58070274,2025-05-17T00:00:00,18:19,CRIMES CONTRA A PESSOA,Feminicídio,ES,1,2 - Feminino,Branca,CARIACICA,PORTO DE CARIACICA,RUA DOS LIRIOS,Domicílio
300,58069598,2025-05-17T00:00:00,17:07,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Negra,SERRA,BAIRRO DAS LARANJEIRAS,RUA SAO PAULO,Via Pública
301,58064657,2025-05-17T00:00:00,03:12,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,38,1 - Masculino,Parda,SAO MATEUS,VILA NOVA,RUA PERU,Domicílio
302,58064580,2025-05-17T00:00:00,02:53,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Parda,ARACRUZ,SAO MARCOS,RUA LIRIO DA PAZ,Via Pública
303,58078391,2025-05-18T00:00:00,17:27,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,SAO MATEUS,CARAPINA,RUA NÃO CADASTRADA,Via Pública
304,58074674,2025-05-18T00:00:00,07:40,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,16,2 - Feminino,Negra,VILA VELHA,BARRAMARES,RUA ABRIL,Via Pública
305,58087402,2025-05-19T00:00:00,16:28,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Parda,SERRA,PARQUE RESIDENCIAL TUBARAO,RUA SAO PAULO,Via Pública
306,58107168,2025-05-21T00:00:00,18:16,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Parda,SERRA,NOVA ALMEIDA,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
307,58106284,2025-05-21T00:00:00,17:02,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Parda,ATILIO VIVACQUA,SAO PEDRO,RUA NÃO CADASTRADA,Via Pública
308,58106284,2025-05-21T00:00:00,17:02,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,36,1 - Masculino,Parda,ATILIO VIVACQUA,SAO PEDRO,RUA NÃO CADASTRADA,Via Pública
309,58099979,2025-05-21T00:00:00,01:46,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,41,1 - Masculino,Parda,VILA VELHA,ZUMBI DOS PALMARES,RUA MANGUEIRA,Via Pública
310,58117121,2025-05-22T00:00:00,18:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,68,1 - Masculino,Parda,LINHARES,SANTA CRUZ,RUA ANTONIO SILVA ARAUJO,Domicílio
311,58127713,2025-05-23T00:00:00,22:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Negra,SERRA,BAIRRO DAS LARANJEIRAS,RUA QUATORZE,Via Pública
312,58119722,2025-05-23T00:00:00,06:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Parda,ARACRUZ,BARRA DO SAHY,RUA BERILO,Via Pública
313,58137342,2025-05-24T00:00:00,22:22,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,34,1 - Masculino,Parda,LINHARES,HUMAITA,RUA PRINCIPAL,Via Pública
314,58136120,2025-05-24T00:00:00,19:55,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,35,1 - Masculino,Branca,VILA VELHA,JARDIM MARILANDIA,RUA DULCINOPOLIS,Estabelecimento Comercial
315,58136120,2025-05-25T00:00:00,16:21,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,56,1 - Masculino,Branca,VILA VELHA,JARDIM MARILANDIA,RUA DULCINOPOLIS,Estabelecimento Comercial
316,58146960,2025-05-26T00:00:00,03:17,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,26,1 - Masculino,Negra,SERRA,ROSARIO DE FATIMA,TRAVESSA CARIOCA,Via Pública
317,58156443,2025-05-27T00:00:00,07:45,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Branca,VILA VELHA,VINTE E TRES DE MAIO,RUA BELA VISTA,Via Pública
318,58156443,2025-05-27T00:00:00,07:45,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,22,1 - Masculino,Parda,VILA VELHA,VINTE E TRES DE MAIO,RUA BELA VISTA,Via Pública
319,58155600,2025-05-27T00:00:00,00:23,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,31,1 - Masculino,Parda,PANCAS,ZONA RURAL,RUA NÃO CADASTRADA,Domicílio
320,58167528,2025-05-28T00:00:00,11:05,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,43,1 - Masculino,Parda,VITORIA,GURIGICA,RUA MARIA DA PAIXAO SANTOS,Domicílio
321,58174137,2025-05-29T00:00:00,01:58,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,24,1 - Masculino,Parda,VILA VELHA,BARRA DO JUCU,RUA JOAQUIM CALAZAN,Via Pública
322,58174014,2025-05-29T00:00:00,00:59,CRIMES CONTRA A PESSOA,Feminicídio,ES,28,2 - Feminino,Parda,VIANA,ARLINDO ANGELO VILLASCHI,RUA SAO MATEUS,Domicílio
323,58173401,2025-05-29T00:00:00,22:32,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,18,1 - Masculino,Parda,CARIACICA,APARECIDA,RUA SANTO AGOSTINHO,Via Pública
324,58172927,2025-05-29T00:00:00,21:10,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,2 - Feminino,Parda,SAO MATEUS,AROEIRA,AV DOM JOSE DALVIT,Via Pública
325,58186488,2025-05-30T00:00:00,12:15,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,50,1 - Masculino,Parda,LINHARES,REGENCIA,ROD ES 010,Via Pública
326,58185819,2025-05-30T00:00:00,10:55,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Negra,VILA VELHA,SANTA RITA,RUA FERNANDO ANTONIO SILVEIRA,Via Pública
327,58195989,2025-05-31T00:00:00,12:15,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,38,1 - Masculino,Parda,COLATINA,SANTO ANTONIO,RUA PEDRO BARBOSA FILHO,Domicílio
328,58205263,2025-01-06T00:00:00,11:31,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Branca,VILA VELHA,JABURUNA,RUA NÃO CADASTRADA,Via Pública
329,58214490,2025-02-06T00:00:00,11:43,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,GUARAPARI,PATURA,RUA JOÃO FERREIRA DOS SANTOS,Praça / Parques / Área Pública
330,58235303,2025-04-06T00:00:00,18:44,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Parda,VITORIA,SANTO ANTONIO,ESC MONTE SIAO,Via Pública
331,58246628,2025-05-06T00:00:00,23:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,34,1 - Masculino,Parda,CARIACICA,VILA PRUDENCIO,RUA RESPLENDOR,Via Pública
332,58256342,2025-06-06T00:00:00,23:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,46,1 - Masculino,Parda,CONCEICAO DO CASTELO,CENTRO,RUA FERNANDO ANTONIO LOPES,Domicílio
333,58265294,2025-07-06T00:00:00,22:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,SOORETAMA,CENTRO,RUA JOAQUIM MARQUES,Via Pública
334,58265294,2025-07-06T00:00:00,22:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,SOORETAMA,CENTRO,RUA JOAQUIM MARQUES,Via Pública
335,58261797,2025-07-06T00:00:00,15:36,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,17,1 - Masculino,Parda,SAO MATEUS,ZONA RURAL,ROD BR 101,Terreno Baldio / Construção / Mata
336,58260139,2025-07-06T00:00:00,12:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,32,1 - Masculino,Parda,VIANA,PEDRA MULATA,RUA MANTEIGA,Domicílio
337,58258505,2025-07-06T00:00:00,07:59,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,17,1 - Masculino,Parda,SERRA,VILA NOVA DE COALRES,AV COLARES JUNIOR,Praça / Parques / Área Pública
338,58272360,2025-08-06T00:00:00,18:27,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,19,1 - Masculino,Parda,VILA VELHA,DOM JOAO BATISTA,RUA SÃO JOSE,Via Pública
339,58270928,2025-08-06T00:00:00,15:51,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,37,1 - Masculino,Branca,VILA VELHA,COBILANDIA,AV PRIMEIRA AVENIDA,Via Pública
340,58267724,2025-08-06T00:00:00,07:30,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Negra,CARIACICA,JARDIM DE ALAH,RUA J,Praça / Parques / Área Pública
341,58266947,2025-08-06T00:00:00,03:05,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,29,1 - Masculino,Parda,CARIACICA,JARDIM BOTANICO,RUA VOLTA REDONDA,Via Pública
342,58284327,2025-09-06T00:00:00,23:15,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,38,1 - Masculino,Parda,MONTANHA,LAJEDO,RUA BEIRA RIO,Domicílio
343,58282801,2025-09-06T00:00:00,19:06,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,33,1 - Masculino,Branca,CARIACICA,SAO FRANCISCO,RUA SANTA HELENA,Via Pública
344,58281533,2025-09-06T00:00:00,16:47,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,42,1 - Masculino,Parda,VILA VELHA,PRAIA DA COSTA,AV CHAMPAGNAT,Via Pública
345,58280818,2025-09-06T00:00:00,15:38,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,35,1 - Masculino,Parda,CARIACICA,SANTO ANDRE,RUA AIMORES,Via Pública
346,58277214,2025-09-06T00:00:00,10:04,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,47,1 - Masculino,Negra,SERRA,TAQUARA,RUA DOUTOR ARNALDO ANDRADE,Via Pública
347,58275124,2025-09-06T00:00:00,02:09,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,31,2 - Feminino,Parda,PANCAS,OPERARIO,RUA VIRGINIA MOREIRA,Domicílio
348,58291305,2025-10-06T00:00:00,18:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,69,1 - Masculino,Parda,IRUPI,SANTA CLARA,RUA NÃO CADASTRADA,Domicílio
349,58288458,2025-10-06T00:00:00,12:41,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,15,1 - Masculino,Parda,LINHARES,PLANALTO,RUA WILSON MONTOVANELLI,Terreno Baldio / Construção / Mata
350,58306696,2025-12-06T00:00:00,13:03,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,VILA VELHA,SAO TORQUATO,RUA NÃO CADASTRADA,Terreno Baldio / Construção / Mata
351,58318086,2025-06-13T00:00:00,18:59,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,30,1 - Masculino,Negra,CARIACICA,SOTELANDIA,AV IRACI CORTELETI,Via Pública
