_id,Nº OCORRENCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,IDADE,GENERO,COR,MUNICIPIO,BAIRRO,LOGRADOURO,TIPO LOCAL
127,57264918,2025-02-20T00:00:00,03:54,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,23,1 - Masculino,Parda,COLATINA,NOVO HORIZONTE,RUA AMBIENTAL,Domicílio
128,57235448,2025-02-21T00:00:00,20:45,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Branca,ARACRUZ,POLIVALENTE,RUA JANETE PASSOS,Via Pública
129,57289026,2025-02-22T00:00:00,18:06,CRIMES CONTRA A PESSOA,Feminicídio,ES,25,2 - Feminino,Parda,GUARAPARI,BARRO BRANCO,RUA SANTO FRAGA,Via Pública
130,57292098,2025-02-22T00:00:00,17:00,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,34,1 - Masculino,Parda,ECOPORANGA,DIVINO ESPIRITO SANTO,RUA AMELIA POUBEL,Via Pública
131,57283494,2025-02-22T00:00:00,09:11,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,43,1 - Masculino,Branca,IBATIBA,CENTRO,AV MARIO ANDREAZZA,Via Pública
132,57287612,2025-02-22T00:00:00,03:00,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,20,1 - Masculino,Parda,GUACUI,CENTRO,RUA NÃO CADASTRADA,Praça / Parques / Área Pública
133,57300465,2025-02-23T00:00:00,22:42,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,25,1 - Masculino,Parda,VILA VELHA,BRISAMAR,RUA JASMIN,Via Pública
134,57298332,2025-02-23T00:00:00,18:05,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,39,1 - Masculino,Negra,SERRA,VISTA DA SERRA I,RUA ITAGUAÇU,Domicílio
135,57298268,2025-02-23T00:00:00,17:52,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,21,1 - Masculino,Parda,CARIACICA,FLEXAL II,RUA BOA VISTA,Via Pública
136,57297997,2025-02-23T00:00:00,17:20,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,28,1 - Masculino,Parda,BREJETUBA,ZONA RURAL,RUA NÃO CADASTRADA,Domicílio
137,57295724,2025-02-23T00:00:00,12:33,CRIMES CONTRA A PESSOA,Feminicídio,ES,20,2 - Feminino,Parda,CARIACICA,ORIENTE,RUA FRANCISCO ESPERIDIAO PINTO,Domicílio
138,57293930,2025-02-23T00:00:00,07:42,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,52,1 - Masculino,Branca,MONTANHA,CENTRO,RUA NÃO CADASTRADA,Praça / Parques / Área Pública
139,56866138,2025-02-24T00:00:00,06:46,CRIMES CONTRA A PESSOA,Homicídio Doloso,ES,32,1 - Masculino,Parda,SAO GABRIEL DA PALHA,JOAO COLOMBI,RUA ADELIO AGOSTINI,Via Pública
